,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType,category
16,0,0.0,0,0.0,0,0.0,0,0.0,100.0,5,F-C,0.2,1.0,Alan,1626210,Williams,15,0.0,1,1,0.2,100.0,100.0,0.0,1610612756,Phoenix Suns,PHX,Phoenix,3.4482800960541,0,0.0,Offensive,2017,Reg,Isolation
17,0,0.0,2,0.66666666666667,0,0.0,2,0.66666666666667,33.333333333333,3,,0.33333333333333,0.33333298563957,Marquis,203104,Teague,20,0.0,1,3,1.0,33.333333333333,33.333333333333,0.0,1610612763,Memphis Grizzlies,MEM,Memphis,14.28569984436,0,0.0,Offensive,2017,Reg,Isolation
18,0,0.0,1,0.11111111111111,0,0.0,1,0.11111111111111,0.0,9,,0.0,0.0,Aaron,1626151,Harrison,9,0.0,0,1,0.11111111111111,0.0,0.0,0.0,1610612742,Dallas Mavericks,DAL,Dallas,1.25,0,0.0,Offensive,2017,Reg,Isolation
19,0,0.0,1,0.016129032258065,0,0.0,1,0.016129032258065,0.0,62,G,0.0,0.0,Reggie,203493,Bullock,25,0.0,0,1,0.016129032258065,0.0,0.0,0.0,1610612765,Detroit Pistons,DET,Detroit,0.16286599636078,0,0.0,Offensive,2017,Reg,Isolation
20,0,0.0,2,0.16666666666667,0,0.0,2,0.16666666666667,0.0,12,F,0.0,0.0,Solomon,203524,Hill,44,0.0,0,2,0.16666666666667,0.0,0.0,0.0,1610612740,New Orleans Pelicans,NOP,NewOrleans,3.7735800743103,0,0.0,Offensive,2017,Reg,Isolation
21,0,0.0,2,0.4,0,0.0,2,0.4,0.0,5,G,0.0,0.0,Briante,1627362,Weber,3,0.0,0,2,0.4,0.0,0.0,0.0,1610612763,Memphis Grizzlies,MEM,Memphis,6.25,0,0.0,Offensive,2017,Reg,Isolation
22,0,0.0,0,0.0,0,0.0,0,0.0,0.0,24,G,0.0,0.0,Ryan,1627853,Arcidiacono,15,0.0,0,2,0.083333333333333,0.0,0.0,100.0,1610612741,Chicago Bulls,CHI,Chicago,3.5087699890137,0,0.0,Offensive,2017,Reg,Isolation
23,0,50.0,2,0.11764705882353,1,0.058823529411765,1,0.058823529411765,0.0,17,F,0.17647058823529,1.5,Travis,204037,Wear,21,0.0,3,2,0.11764705882353,0.0,50.0,0.0,1610612747,Los Angeles Lakers,LAL,LALakers,2.4390199184418,0,75.0,Offensive,2017,Reg,Isolation
24,0,33.333333333333,6,0.42857142857143,2,0.14285714285714,4,0.28571428571429,0.0,14,G,0.35714285714286,0.71428602933884,Brandon,201943,Jennings,11,0.0,5,7,0.5,0.0,28.571428571429,14.285714285714,1610612749,Milwaukee Bucks,MIL,Milwaukee,7.4468097686768,0,41.666666666667,Offensive,2017,Reg,Isolation
25,0,25.0,4,0.26666666666667,1,0.066666666666667,3,0.2,25.0,15,,0.2,0.75,Damion,1627814,Lee,8,25.0,3,4,0.26666666666667,25.0,25.0,0.0,1610612737,Atlanta Hawks,ATL,Atlanta,2.2471899986267,0,37.5,Offensive,2017,Reg,Isolation
26,0,50.0,4,0.25,2,0.125,2,0.125,0.0,16,,0.25,0.80000001192093,Rodney,1628681,Purvis,15,0.0,4,5,0.3125,0.0,40.0,20.0,1610612753,Orlando Magic,ORL,Orlando,4.0983600616455,0,50.0,Offensive,2017,Reg,Isolation
27,0,100.0,1,0.055555555555556,1,0.055555555555556,0,0.0,50.0,18,G,0.22222222222222,2.0,Rodney,203585,McGruder,17,0.0,4,2,0.11111111111111,0.0,100.0,0.0,1610612748,Miami Heat,MIA,Miami,2.4691400527954,0,150.0,Offensive,2017,Reg,Isolation
28,0,0.0,2,0.090909090909091,0,0.0,2,0.090909090909091,0.0,22,G-F,0.0,0.0,Glenn,203922,Robinson III,40,0.0,0,2,0.090909090909091,0.0,0.0,0.0,1610612754,Indiana Pacers,IND,Indiana,2.1977999210358,0,0.0,Offensive,2017,Reg,Isolation
29,0,0.0,1,0.16666666666667,0,0.0,1,0.16666666666667,0.0,6,,0.0,0.0,Jaylen,1628537,Morris,3,0.0,0,1,0.16666666666667,0.0,0.0,0.0,1610612737,Atlanta Hawks,ATL,Atlanta,2.7026998996735,0,0.0,Offensive,2017,Reg,Isolation
30,0,0.0,1,0.013888888888889,0,0.0,1,0.013888888888889,0.0,72,C,0.0,0.0,Jarrett,1628386,Allen,31,0.0,0,1,0.013888888888889,0.0,0.0,0.0,1610612751,Brooklyn Nets,BKN,Brooklyn,0.18248200416565,0,0.0,Offensive,2017,Reg,Isolation
31,0,0.0,3,0.14285714285714,0,0.0,3,0.14285714285714,0.0,21,G,0.0,0.0,Davon,1628432,Reed,32,0.0,0,3,0.14285714285714,0.0,0.0,0.0,1610612756,Phoenix Suns,PHX,Phoenix,3.2258100509644,0,0.0,Offensive,2017,Reg,Isolation
32,0,50.0,2,0.4,1,0.2,1,0.2,0.0,5,,0.4,1.0,Xavier,1628504,Rathan-Mayes,22,0.0,2,2,0.4,0.0,50.0,0.0,1610612763,Memphis Grizzlies,MEM,Memphis,3.5087699890137,0,50.0,Offensive,2017,Reg,Isolation
33,6,75.0,8,0.34782608695652,6,0.26086956521739,2,0.08695652173913,18.181818181818,23,G,0.65217391304348,1.3636399507523,Shaquille,1627885,Harrison,10,0.0,15,11,0.47826086956522,18.181818181818,72.727272727273,9.0909090909091,1610612756,Phoenix Suns,PHX,Phoenix,6.7484698295593,276,75.0,Offensive,2017,Reg,Isolation
34,198,36.363636363636,11,0.18032786885246,4,0.065573770491803,7,0.11475409836066,8.3333333333333,61,F,0.14754098360656,0.75,Cedi,204460,Osman,16,0.0,9,12,0.19672131147541,8.3333333333333,41.666666666667,0.0,1610612739,Cleveland Cavaliers,CLE,Cleveland,5.0847501754761,83,36.363636363636,Offensive,2017,Reg,Isolation
35,0,33.333333333333,6,0.16666666666667,2,0.055555555555556,4,0.11111111111111,0.0,36,F-C,0.11111111111111,0.66666698455811,Ivan,1628397,Rabb,10,0.0,4,6,0.16666666666667,0.0,33.333333333333,0.0,1610612763,Memphis Grizzlies,MEM,Memphis,2.9702999591827,0,33.333333333333,Offensive,2017,Reg,Isolation
36,0,0.0,3,0.0625,0,0.0,3,0.0625,25.0,48,F,0.020833333333333,0.25,Richaun,1626158,Holmes,22,0.0,1,4,0.083333333333333,25.0,25.0,0.0,1610612755,Philadelphia 76ers,PHI,Philadelphia,1.3840800523758,0,0.0,Offensive,2017,Reg,Isolation
37,0,0.0,1,0.058823529411765,0,0.0,1,0.058823529411765,0.0,17,,0.0,0.0,Troy,1627786,Williams,0,0.0,0,1,0.058823529411765,0.0,0.0,0.0,1610612752,New York Knicks,NYK,NewYork,0.77519398927689,0,0.0,Offensive,2017,Reg,Isolation
38,0,0.0,1,0.066666666666667,0,0.0,1,0.066666666666667,0.0,15,G,0.0,0.0,Andrew,1628510,White,4,0.0,0,2,0.13333333333333,0.0,0.0,50.0,1610612737,Atlanta Hawks,ATL,Atlanta,2.4390199184418,0,0.0,Offensive,2017,Reg,Isolation
39,203,30.769230769231,13,0.52,4,0.16,9,0.36,6.6666666666667,25,G,0.44,0.73333299160004,Cameron,1626166,Payne,22,0.0,11,15,0.6,6.6666666666667,33.333333333333,6.6666666666667,1610612741,Chicago Bulls,CHI,Chicago,5.8365797996521,78,38.461538461538,Offensive,2017,Reg,Isolation
40,0,66.666666666667,3,0.038961038961039,2,0.025974025974026,1,0.012987012987013,0.0,77,G,0.064935064935065,1.6666699647903,Jodie,201975,Meeks,20,0.0,5,3,0.038961038961039,0.0,66.666666666667,0.0,1610612764,Washington Wizards,WAS,Washington,0.63694298267365,0,83.333333333333,Offensive,2017,Reg,Isolation
41,215,40.0,10,0.3125,4,0.125,6,0.1875,7.1428571428571,32,G,0.3125,0.71428602933884,Kobi,1628424,Simmons,2,0.0,10,14,0.4375,7.1428571428571,35.714285714286,21.428571428571,1610612763,Memphis Grizzlies,MEM,Memphis,5.7142901420593,66,40.0,Offensive,2017,Reg,Isolation
42,0,0.0,1,0.11111111111111,0,0.0,1,0.11111111111111,0.0,9,,0.0,0.0,DeAndre,202732,Liggins,34,0.0,0,1,0.11111111111111,0.0,0.0,0.0,1610612740,New Orleans Pelicans,NOP,NewOrleans,5.0,0,0.0,Offensive,2017,Reg,Isolation
43,230,33.333333333333,15,0.28301886792453,5,0.094339622641509,10,0.18867924528302,5.5555555555556,53,G,0.22641509433962,0.66666698455811,Joe,1626202,Young,3,5.5555555555556,12,18,0.33962264150943,5.5555555555556,27.777777777778,16.666666666667,1610612754,Indiana Pacers,IND,Indiana,8.0717496871948,50,36.666666666667,Offensive,2017,Reg,Isolation
44,0,100.0,1,0.5,1,0.5,0,0.0,50.0,2,G,2.0,2.0,Monte,1628420,Morris,11,0.0,4,2,1.0,50.0,100.0,0.0,1610612743,Denver Nuggets,DEN,Denver,25.0,0,100.0,Offensive,2017,Reg,Isolation
